0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,1,1,1,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,7,3,11,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,1,0,0,0,8,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,1,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,5,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
0,0,0,0,3,3,0,1,0,0,0,0,0,1,0,2,0,1,2,0,0,43,2,0,0,0,0,5,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,3,0,0,3,0,0,5,0,0,0,5,1,0,1,1,0,0,2,3,1,0,0,1,0,0,0,5,0,0,0,0,0,2,0,0
0,1,1,0,0,3,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,2,1,4,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
1,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,0,3,0,0,0,1,1,1,2,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,2,0,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,6,1,0,3,1,0,2
0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,1,3,2,1,2,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,1,14,2,1,0,2,0,0,0,2,0,0,0,0,2,0,3,0,0,2,1,2,3,0,0,0,1,2,0,0,0,0,1,3,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,1,6,0,0,1,0,13,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,2,3,0,2,0,1,0,0,0,0,0,0,3,1,0,0,0,2,2,6,0,1,2,0,0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,2,1,0,1,0,2,0,0,1,0,0,0,1,2,0,1,0,0,0,2,0,0
2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,6,0,12,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,5,1,2,2,2,0,2,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,2,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,3,0,4,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,6,1,10,2,8,3,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,3,3,1,1,0,0,1,3,0,1,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,0,6,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,3,0,1,0,1,0,1
1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,7,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
0,0,0,1,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,3,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,1,2,0,2
0,0,1,0,0,0,0,2,0,4,0,0,0,3,0,0,0,3,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,1,8,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2,0,0,0,1,2,0,3,0,0,0,1,0,1,0,0,0,2,3,0,0,9,3,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,6,0,2,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,6,3,0,0,1,0,3,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,10,0,4,0,4,0,0,1,1,0,1,0,0,0,0,3,0,0,0,1,1,2,2,0,1,0,0,0,3,0,1,0,0,1,1,3,0,0,3,0,3,0,1,0,0,1,0,0,0,0,0,0
4,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,5,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,3,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,0,0,0,0,8,0,0,1,1,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,2,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,2,0,0,0,5,1,0,2,0,0,0,3,0,0,3,1,1,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,6,0,1,1,0,1,0,1,0,1,0,0,0,0,5,0,14,1,5,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,6,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
1,1,1,0,0,0,0,0,0,5,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,8,0,10,0,0,0,0,1,1,0,2,0,0,0,0,3,0,0,0,1,2,2,1,2,2,0,2,0,1,0,2,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,4,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,2,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,7,3,0,1,2,1,3,0,0,0,0,0,2,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,7,0,1,0,0,4,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,3,0,1,0,2,0,2,0,0,1,3,3,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,0
1,0,0,0,0,1,0,0,0,7,3,0,1,2,1,3,0,0,0,0,0,2,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,7,0,1,0,0,4,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,3,0,1,0,2,0,2,0,0,1,3,3,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,0
2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0
0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,3,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,3,0,3,0,0,0,1,0,1,5,0,2,1,0,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,3,0,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,2,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,2,3,0,0,0,4,0,1,0,0,7,1,2,0,0,0,5,0,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,9,1,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1
0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,1,3,0,3,0,0,0,2,0,1,2,2,0,0,1,0,2,0,2,1,1,1,0,1,0,0,0,2,0,0,0,0,0,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,7,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0
0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,6,0,0,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,4,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,4,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,2,0,0,2
3,0,1,0,0,0,0,2,0,6,0,0,1,2,0,1,1,0,2,0,0,2,0,0,7,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,3,1,15,2,4,0,2,1,1,0,4,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,5,0,0,1,0,4,0,5,0,0,0,1,0,0,1,1,0,2,0,0,0,2,0,1
3,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,5,4,0,3,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,2,2,0,0,0,1,0,0,1,0,7,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,7,1,0,2,1,0,0
3,1,2,0,0,1,1,4,2,1,0,0,2,1,0,0,2,1,4,0,0,1,2,0,9,3,0,2,1,0,0,3,1,1,0,0,0,2,0,10,0,0,0,2,0,0,2,0,2,0,16,0,5,1,3,1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,5,0,7,0,1,1,1,2,0,1,3,0,1,1,0,0,2,0,1
